"filename", "language", "YAML", "scs", "Markdown", "comment", "blank", "total"
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_r_tree.scs", "scs", 0, 35, 0, 0, 10, 45
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_radix_tree.scs", "scs", 0, 35, 0, 0, 10, 45
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_range_maximum_tree.scs", "scs", 0, 35, 0, 0, 10, 45
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_red_black_tree.scs", "scs", 0, 129, 0, 0, 34, 163
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_rooted_tree.scs", "scs", 0, 108, 0, 0, 18, 126
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_segment_tree.scs", "scs", 0, 40, 0, 0, 11, 51
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_self_balancing_search_tree.scs", "scs", 0, 26, 0, 0, 8, 34
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_sorting_tree.scs", "scs", 0, 114, 0, 0, 31, 145
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_spanning_tree.scs", "scs", 0, 28, 0, 0, 8, 36
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_star_tree.scs", "scs", 0, 40, 0, 0, 11, 51
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_subtree.scs", "scs", 0, 123, 0, 0, 28, 151
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_suffix_tree.scs", "scs", 0, 51, 0, 0, 14, 65
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_ternary_search_tree.scs", "scs", 0, 59, 0, 0, 16, 75
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_tree.scs", "scs", 0, 339, 0, 0, 61, 400
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_tree_depth.scs", "scs", 0, 48, 0, 0, 11, 59
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_tree_height.scs", "scs", 0, 52, 0, 0, 11, 63
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_tree_root.scs", "scs", 0, 24, 0, 0, 8, 32
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_trie.scs", "scs", 0, 37, 0, 0, 10, 47
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_two_three_tree.scs", "scs", 0, 45, 0, 0, 12, 57
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_undirected_tree.scs", "scs", 0, 24, 0, 0, 8, 32
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_van_emde_boas_tree.scs", "scs", 0, 45, 0, 0, 10, 55
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/concept_vantage_point_tree.scs", "scs", 0, 37, 0, 0, 10, 47
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/hypertree.concept.yaml", "YAML", 87, 0, 0, 0, 8, 95
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/irreducible_tree.concept.yaml", "YAML", 19, 0, 0, 0, 2, 21
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/justified_tree.concept.yaml", "YAML", 40, 0, 0, 0, 3, 43
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/k_d_tree.concept.yaml", "YAML", 36, 0, 0, 0, 2, 38
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/leaf.concept.yaml", "YAML", 63, 0, 0, 0, 5, 68
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/left_linear_tree.concept.yaml", "YAML", 22, 0, 0, 0, 2, 24
"/mnt/dev/development/ostis/study/ostis/gt/Graphs/Acyclic Graphs/Trees/concepts/minimum_spanning_tree.concept.yaml", "YAML", 23, 0, 0, 0, 2, 25
